icc_match_id,match_date,match_time,home_team,away_team,match_name,tournament_name,match_type,innings_count,hawkeye_link
628,2013-04-12,20:00,Delhi Daredevils,Sunrisers Hyderabad,ipl2013-14,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/628/uds/traj
629,2013-04-13,16:00,Mumbai Indians,Pune Warriors India,ipl2013-15,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/629/uds/traj
630,2013-04-13,20:00,Chennai Super Kings,Royal Challengers Bangalore,ipl2013-16,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/630/uds/traj
631,2013-04-14,16:00,Kolkata Knight Riders,Sunrisers Hyderabad,ipl2013-17,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/631/uds/traj
632,2013-04-14,20:00,Rajasthan Royals,Kings XI Punjab,ipl2013-18,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/632/uds/traj
633,2013-04-15,20:00,Chennai Super Kings,Pune Warriors India,ipl2013-19,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/633/uds/traj
635,2013-04-16,20:00,Royal Challengers Bangalore,Delhi Daredevils,ipl2013-21,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/635/uds/traj
634,2013-04-16,16:00,Kings XI Punjab,Kolkata Knight Riders,ipl2013-20,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/634/uds/traj
636,2013-04-17,16:00,Pune Warriors India,Sunrisers Hyderabad,ipl2013-22,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/636/uds/traj
637,2013-04-17,20:00,Rajasthan Royals,Mumbai Indians,ipl2013-23,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/637/uds/traj
638,2013-04-18,20:00,Delhi Daredevils,Chennai Super Kings,ipl2013-24,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/638/uds/traj
639,2013-04-19,20:00,Sunrisers Hyderabad,Kings XI Punjab,ipl2013-25,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/639/uds/traj
640,2013-04-20,16:00,Kolkata Knight Riders,Chennai Super Kings,ipl2013-26,ipl2013,IPLT20,2,http://cricketapi-icc.pulselive.com/fixtures/640/uds/traj
